³¯Â¥,S&P 500,FTSE
2001.11.8,0.002416866,0.011777846
2001.11.9,0.002412978,-0.00644348
2001.11.12,0.005020181,-0.018864126
2001.11.13,0.018428802,0.025118126
2001.11.14,-0.004459024,-0.006921627
2001.11.15,0.000875887,-0.000477149
2001.11.16,-0.003068966,0.010029336
2001.11.19,0.00627453,0.008843787
2001.11.20,-0.005498116,-0.007389544
2001.11.21,-0.002810471,0.002845703
2001.11.23,0.011629563,-0.009906934
2001.11.26,0.006153332,0.00175543
2001.11.27,-0.002259299,-0.006907346
2001.11.28,-0.012854553,-0.011612935
2001.11.29,0.008101488,0.000633781
2001.11.30,-0.000438693,-0.000941213
2001.12.3,-0.008460436,-0.007523039
2001.12.4,0.009037924,0.00915519
2001.12.5,0.016281533,0.023024838
2001.12.6,-0.000856458,0.006782981
2001.12.7,-0.003619446,-0.0197665
2001.12.10,-0.010906185,-0.015254322
2001.12.11,-0.002723241,-0.004678235
2001.12.12,-0.001932877,-0.007937167
2001.12.13,-0.007298653,-0.008847619
2001.12.14,0.004640794,-0.002742728
2001.12.17,0.010011158,0.014768884
2001.12.18,0.007465015,0.002877308
2001.12.19,0.011636686,-0.005938664
2001.12.20,-0.007864424,-0.007920989
2001.12.21,0.004376758,0.015430898
2001.12.24,-0.000262043,0.003521471
2001.12.27,0.006676808,0.006890871
2001.12.28,0.003364828,0.005585538
2001.12.31,-0.008845011,-0.004780215
2002.1.2,0.004948571,0.000172485
2002.1.3,0.008445414,0.019076036
2002.1.4,0.001194743,0.00093962
2002.1.7,-0.008377549,-0.00568879
2002.1.8,-0.003955293,-0.00819428
2002.1.9,-0.007503593,-0.004179834
2002.1.10,0.001904103,-0.007255867
2002.1.11,-0.011197548,0.001520796
2002.1.14,-0.004032617,-0.016505257
2002.1.15,0.004722352,0.010214593
2002.1.16,-0.010234781,-0.007460981
2002.1.17,0.002813683,0.002104034
2002.1.18,8.87E-05,-0.002260064
2002.1.22,-0.014193443,0.002080155
2002.1.23,0.005332398,0.006079517
2002.1.24,-0.001059322,0.010082957
2002.1.25,0.003535759,-0.007692272
2002.1.28,-0.002820131,0.005875255
2002.1.29,-0.029719337,-0.017808293
2002.1.30,0.012106029,-0.00823823
2002.1.31,0.01103214,0.014726083
2002.2.1,-0.004623052,0.004809512
2002.2.4,-0.021335107,-0.004325584
2002.2.5,0.001193372,-0.014404724
2002.2.6,-0.007356355,-0.00385554
2002.2.7,-0.002865729,0.010430649
2002.2.8,0.012668856,0.000214527
2002.2.11,0.01495067,0.006550136
2002.2.12,0.001174504,-0.005069202
2002.2.13,0.009883279,0.003537556
2002.2.14,-0.00178971,0.010576595
2002.2.15,-0.011256817,-0.005042739
2002.2.19,-0.017296244,-0.012062449
2002.2.20,0.012186892,-0.013522536
2002.2.21,-0.012228351,0.00974516
2002.2.22,0.010701209,-0.004444847
2002.2.25,0.016907957,0.009831139
2002.2.26,-0.00081092,0.007461118
2002.2.27,-0.001170591,0.00763762
2002.2.28,-0.003697862,-0.015059529
2002.3.1,0.020621128,0.013242647
2002.3.4,0.020047067,0.014023859
2002.3.5,-0.006002367,-0.005355789
2002.3.6,0.014640535,0.006023251
2002.3.7,-0.006201036,0.00695318
2002.3.8,0.002752216,0.000681315
2002.3.11,0.003687351,-0.005083181
2002.3.12,-0.002313725,-0.001217726
2002.3.13,-0.007682054,0.003705643
2002.3.14,-0.001040222,-0.002012646
2002.3.15,0.010949801,0.005931362
2002.3.18,-0.00060042,0.00135944
2002.3.19,0.004109947,0.003051999
2002.3.20,-0.015848738,-0.009297998
2002.3.21,0.001822047,-0.002585504
2002.3.22,-0.00399653,-0.00053314
2002.3.25,-0.015255425,-0.008972616
2002.3.26,0.006079046,-0.001557827
2002.3.27,0.006222359,0.003688694
2002.3.28,0.000959149,0.0108903
2002.4.2,-0.005439087,-0.003877152
2002.4.3,-0.010694344,-0.000685767
2002.4.4,0.001154888,-0.007325059
2002.4.5,-0.004443662,0.004615496
2002.4.8,0.002313168,-0.010564628
2002.4.9,-0.006864914,0.000193084
2002.4.10,0.010135222,0.009511346
2002.4.11,-0.023991841,-0.017692064
2002.4.12,0.006592339,0.004583244
2002.4.15,-0.007680182,0.007797461
2002.4.16,0.023220372,0.011184195
2002.4.17,-0.002040364,0.000760182
2002.4.18,-0.001421843,-0.006575648
2002.4.19,0.000622305,0.002711737
2002.4.22,-0.015584731,-0.004223568
2002.4.23,-0.006157209,-0.00585836
2002.4.24,-0.007201161,0.005226158
2002.4.25,-0.001464799,-0.003974774
2002.4.26,-0.014023664,-0.007434978
2002.4.29,-0.010085061,-0.000989053
2002.4.30,0.010642371,0.002267553
2002.5.1,0.008874977,-0.007793181
2002.5.2,-0.001750265,0.00943733
2002.5.3,-0.010380075,0.005589191
2002.5.7,-0.003044432,-0.016119694
2002.5.8,0.036762312,0.017272189
2002.5.9,-0.014617709,-0.002210116
2002.5.10,-0.016917697,-0.005092211
2002.5.13,0.018407732,0.006476507
2002.5.14,0.020904118,0.006644797
2002.5.15,-0.005666255,0.003733836
2002.5.16,0.006486114,-0.002017588
2002.5.17,0.007619776,-0.005828135
2002.5.20,-0.013372953,-0.001899081
2002.5.21,-0.011050854,-0.002095087
2002.5.22,0.005632777,-0.00875444
2002.5.23,0.010169113,0.00453173
2002.5.24,-0.012196951,-0.001198716
2002.5.28,-0.008617947,-0.012164099
2002.5.29,-0.006348635,0.001732761
2002.5.30,-0.002813733,-0.008336839
2002.5.31,0.002251619,0.008749895
2002.6.5,0.008801358,-0.019059162
2002.6.6,-0.01991312,-0.00633378
2002.6.7,-0.001653134,-0.007531925
2002.6.10,0.003109516,0.001583982
2002.6.11,-0.016729833,0.001338335
2002.6.12,0.006588352,-0.016982986
2002.6.13,-0.010542489,-0.016584611
2002.6.14,-0.002280729,-0.030014909
2002.6.17,0.028286691,0.026845534
2002.6.18,0.000868181,-0.011587223
2002.6.19,-0.016625729,-0.010604735
2002.6.20,-0.013522389,-0.015618717
2002.6.21,-0.017240078,0.005443316
2002.6.24,0.003633065,-0.013862387
2002.6.25,-0.016863463,0.019427401
