³¯Â¥,S&P 500,DAX
2002.1.10,0.001904103,-0.007185144
2002.1.11,-0.011197548,-0.003471913
2002.1.14,-0.004032617,-0.027336017
2002.1.15,0.004722352,0.000434702
2002.1.16,-0.010234781,-0.013184639
2002.1.17,0.002813683,0.029260584
2002.1.18,8.87E-05,0.0007734
2002.1.22,-0.014193443,-0.0047689
2002.1.23,0.005332398,0.022371045
2002.1.24,-0.001059322,0.000272741
2002.1.25,0.003535759,-0.002303115
2002.1.28,-0.002820131,0.000484706
2002.1.29,-0.029719337,-0.015716089
2002.1.30,0.012106029,-0.002652747
2002.1.31,0.01103214,0.007609726
2002.2.1,-0.004623052,-0.002433735
2002.2.4,-0.021335107,-0.020718857
2002.2.5,0.001193372,-0.009017808
2002.2.6,-0.007356355,-0.027262097
2002.2.7,-0.002865729,0.01337197
2002.2.8,0.012668856,-0.002981521
2002.2.11,0.01495067,0.019368551
2002.2.12,0.001174504,-0.012404373
2002.2.13,0.009883279,0.009024766
2002.2.14,-0.00178971,0.005754628
2002.2.15,-0.011256817,-0.021345434
2002.2.19,-0.017296244,-0.019055126
2002.2.20,0.012186892,0.003004358
2002.2.21,-0.012228351,0.010944634
2002.2.22,0.010701209,-0.021078213
2002.2.25,0.016907957,0.021764728
2002.2.26,-0.00081092,0.007050471
2002.2.27,-0.001170591,0.009565341
2002.2.28,-0.003697862,0.01881825
2002.3.1,0.020621128,0.014116087
2002.3.4,0.020047067,0.026652894
2002.3.5,-0.006002367,-0.003253656
2002.3.6,0.014640535,0.011687136
2002.3.7,-0.006201036,-0.000765385
2002.3.8,0.002752216,0.012460817
2002.3.11,0.003687351,-0.003620324
2002.3.12,-0.002313725,-0.011857448
2002.3.13,-0.007682054,-0.005852088
2002.3.14,-0.001040222,0.005905362
2002.3.15,0.010949801,0.024410951
2002.3.18,-0.00060042,0.004968052
2002.3.19,0.004109947,0.005845833
2002.3.20,-0.015848738,-0.01649966
2002.3.21,0.001822047,-0.001597249
2002.3.22,-0.00399653,0.003322616
2002.3.25,-0.015255425,-0.00820713
2002.3.26,0.006079046,0.01430623
2002.3.27,0.006222359,-0.006835225
2002.3.28,0.000959149,0.008751818
2002.4.2,-0.005439087,-0.012826253
2002.4.3,-0.010694344,-0.002180572
2002.4.4,0.001154888,-0.005550747
2002.4.5,-0.004443662,0.001912281
2002.4.8,0.002313168,-0.015522688
2002.4.9,-0.006864914,-0.004600398
2002.4.10,0.010135222,0.018278765
2002.4.11,-0.023991841,-0.020586716
2002.4.12,0.006592339,0.004701137
2002.4.15,-0.007680182,0.009437629
2002.4.16,0.023220372,0.017687714
2002.4.17,-0.002040364,-0.007373264
2002.4.18,-0.001421843,-0.010142429
2002.4.19,0.000622305,0.003995064
2002.4.22,-0.015584731,-0.01524017
2002.4.23,-0.006157209,-0.003773615
2002.4.24,-0.007201161,-0.005216847
2002.4.25,-0.001464799,-0.020415726
2002.4.26,-0.014023664,-0.012798766
2002.4.29,-0.010085061,0.002767382
2002.4.30,0.010642371,0.006759284
2002.5.2,-0.001750265,-0.015678453
2002.5.3,-0.010380075,-0.015447061
2002.5.6,-0.019472888,-0.000688193
2002.5.7,-0.003044432,-0.000603216
2002.5.8,0.036762312,0.030252637
2002.5.9,-0.014617709,-0.011511109
2002.5.10,-0.016917697,-0.018170428
2002.5.13,0.018407732,0.023246813
2002.5.14,0.020904118,0.013398719
2002.5.15,-0.005666255,0.00203069
2002.5.16,0.006486114,-0.00383221
2002.5.17,0.007619776,-0.004269713
2002.5.20,-0.013372953,-0.009393648
2002.5.21,-0.011050854,-0.001767883
2002.5.22,0.005632777,-0.010476488
2002.5.23,0.010169113,-0.009291671
2002.5.24,-0.012196951,0.00177127
2002.5.28,-0.008617947,-0.010269176
2002.5.29,-0.006348635,-0.006684154
2002.5.30,-0.002813733,-0.023173536
2002.5.31,0.002251619,0.010930576
2002.6.3,-0.025051125,-0.014660487
2002.6.4,0,-0.022540157
2002.6.5,0.008801358,-0.00176735
2002.6.6,-0.01991312,0.005015218
2002.6.7,-0.001653134,-0.004382835
2002.6.10,0.003109516,-0.006067504
2002.6.11,-0.016729833,0.004131325
2002.6.12,0.006588352,-0.019512654
2002.6.13,-0.010542489,-0.010525734
2002.6.14,-0.002280729,-0.036743566
2002.6.17,0.028286691,0.035773421
2002.6.18,0.000868181,-0.010582418
2002.6.19,-0.016625729,-0.015722559
2002.6.20,-0.013522389,-0.024804743
2002.6.21,-0.017240078,-0.002793562
2002.6.24,0.003633065,-0.025514835
2002.6.25,-0.016863463,0.01764477
2002.6.26,-0.002667215,-0.021257907
2002.6.27,0.017412995,0.037265838
2002.6.28,-0.000807918,0.024781092
2002.7.1,-0.021651173,-0.002353639
2002.7.2,-0.021391748,-0.038161898
2002.7.3,0.00620369,-0.015380787
2002.7.5,0.023737558,0.049099936
2002.7.8,-0.01220768,-0.007526201
2002.7.9,-0.025081634,-0.017280983
2002.7.10,-0.034488017,-0.038059186
2002.7.11,0.007467971,-0.014771987
2002.7.12,-0.006490719,0.002370387
2002.7.15,-0.0038058,-0.052772962
2002.7.16,-0.018583195,0.016381323
2002.7.17,0.005534048,0.028211227
2002.7.18,-0.027300868,0.001295724
2002.7.19,-0.019043744,-0.050376093
2002.7.22,-0.033462377,-0.051909262
2002.7.23,-0.027449795,-0.054106591
2002.7.24,0.055708754,0.032763488
2002.7.25,-0.005588267,-0.031439565
2002.7.26,0.016671979,0.014837105
2002.7.29,0.052757981,0.073988403
2002.7.30,0.00421801,0.006728023
2002.7.31,0.009700252,-0.046639414
2002.8.1,-0.029952693,-0.025422407
2002.8.2,-0.023444381,-0.019405728
2002.8.5,-0.034851655,-0.058464495
2002.8.6,0.029514597,0.072289067
2002.8.7,0.019811751,-0.029727943
2002.8.8,0.032208361,0.057554672
2002.8.9,0.003417676,0.020990614
2002.8.12,-0.005296856,-0.027884614
2002.8.13,-0.021924816,0.006212224
2002.8.14,0.039255511,-0.024114132
2002.8.15,0.011460824,0.020465851
2002.8.16,-0.001506186,0.005175268
2002.8.19,0.023305125,0.041498958
2002.8.20,-0.01408847,-0.019420076
2002.8.21,0.012720121,0.025507606
2002.8.22,0.013911631,0.008483232
2002.8.23,-0.022904973,-0.021438954
2002.8.26,0.007517638,-0.012146324
2002.8.27,-0.0140219,0.015677883
2002.8.28,-0.01824415,-0.040766818
2002.8.29,-0.00010895,-0.005540558
2002.8.30,-0.001853973,0.014724322
2002.9.3,-0.042478935,-0.05996071
2002.9.4,0.017387815,0.008530399
2002.9.5,-0.016135752,-0.022043318
2002.9.6,0.016695255,0.036225273
2002.9.9,0.010128641,-0.014863243
2002.9.10,0.007282389,0.016613672
2002.9.11,-0.001208725,0.021768466
2002.9.12,-0.025162762,-0.043279965
2002.9.13,0.003264482,-0.013387002
2002.9.16,0.001459936,-0.012062952
2002.9.17,-0.019948525,-0.009871671
2002.9.18,-0.004589796,-0.047644793
2002.9.19,-0.030595567,-0.041954133
2002.9.20,0.002487122,0.021046955
2002.9.23,-0.013936263,-0.049925971
2002.9.24,-0.017423308,-0.013808531
2002.9.25,0.024594368,0.030683688
2002.9.26,0.018056784,0.01921272
2002.9.27,-0.032813215,-0.03428507
2002.9.30,-0.01473211,-0.048486935
2002.10.1,0.039206561,0.032733284
2002.10.2,-0.019023126,0.020881132
2002.10.3,-0.01080829,-0.03844046
2002.10.4,-0.022722637,-0.035297335
2002.10.7,-0.019295636,-0.015969932
2002.10.8,0.016669157,-0.021479346
2002.10.9,-0.027552051,-0.007539218
2002.10.10,0.034291966,0.052553654
2002.10.11,0.038316058,0.070279576
2002.10.14,0.007276229,-0.027177147
2002.10.15,0.046330919,0.064949111
2002.10.16,-0.024465701,-0.009674118
2002.10.17,0.022080014,0.048674488
2002.10.18,0.005897046,-0.00273674
2002.10.21,0.017151925,0.040638979
2002.10.22,-0.010615218,-0.035432924
2002.10.23,0.006605857,-0.048281221
2002.10.24,-0.015293225,0.020483375
2002.10.25,0.016965746,0.003973053
2002.10.28,-0.008278378,0.029718648
2002.10.29,-0.009140728,-0.053697409
2002.10.30,0.009702242,0.028898368
2002.10.31,-0.005516479,0.011833702
2002.11.1,0.017014066,0.004106158
2002.11.4,0.008179553,0.049414018
2002.11.5,0.007676318,0.009940872
2002.11.6,0.00913447,-0.017196775
2002.11.7,-0.023216111,-0.044273185
2002.11.8,-0.008791021,-0.02527307
2002.11.11,-0.020894091,-0.011176405
2002.11.12,0.007730825,0.024608049
2002.11.13,-0.000566412,-0.009826271
2002.11.14,0.024402375,0.040023321
2002.11.15,0.006063631,-0.00132441
2002.11.18,-0.010385686,0.006981272
2002.11.19,-0.004117751,0.000364901
2002.11.20,0.019218617,0.000862497
2002.11.21,0.021322308,0.027018268
2002.11.22,-0.003540206,0.005495548
2002.11.25,0.002575938,-0.007109643
2002.11.26,-0.0212336,-0.033272522
2002.11.27,0.027644564,0.049521573
2002.11.29,-0.002773039,-0.012195237
2002.12.2,-0.001924311,0.014143091
2002.12.3,-0.014768769,-0.03258045
2002.12.4,-0.003481292,0.013628547
2002.12.5,-0.012170536,-0.031444073
2002.12.6,0.006268234,-0.004401792
2002.12.9,-0.022393132,-0.044902815
2002.12.10,0.013916172,0.033744932
2002.12.11,0.000552639,0.009301428
2002.12.12,-0.003763981,-0.025918631
2002.12.13,-0.013511456,-0.010902118
2002.12.16,0.023224556,0.041657031
2002.12.17,-0.00816151,-0.021948651
2002.12.18,-0.013265899,-0.036813694
2002.12.19,-0.006538181,-0.023550365
2002.12.20,0.013033892,0.017996983
2002.12.23,0.001896158,-0.00712919
2002.12.27,-0.016203402,-0.05369762
2002.12.30,0.004558932,0.018760037
2003.1.2,0.032650485,0.068771137
2003.1.3,-0.000440141,-0.001921888
2003.1.6,0.022203785,0.017921936
2003.1.7,-0.006587853,-0.013969822
2003.1.8,-0.014186183,-0.037709639
2003.1.9,0.019265902,0.012401781
2003.1.10,0,-0.000154729
2003.1.13,-0.001402449,0.006799402
2003.1.14,0.005812718,0.011434334
2003.1.15,-0.014595643,-0.018909092
2003.1.16,-0.003928421,0.002251962
2003.1.17,-0.014094045,-0.043014175
2003.1.21,-0.015871575,-0.010503523
2003.1.22,-0.01041912,-0.022259985
2003.1.23,0.010081073,0.002525222
2003.1.24,-0.029624171,-0.034467654
2003.1.27,-0.016268133,-0.027097561
2003.1.28,0.012895841,0.00804316
2003.1.29,0.006848944,0.014469221
2003.1.30,-0.023172482,-0.00668196
2003.1.31,0.013056705,0.022118259
2003.2.3,0.005361318,0.000577931
2003.2.4,-0.014164709,-0.043499172
2003.2.5,-0.005438008,0.037005902
2003.2.6,-0.006541023,-0.024285565
2003.2.7,-0.010073235,-0.030540704
2003.2.10,0.007564423,0.004973505
2003.2.11,-0.008167233,0.012969158
2003.2.12,-0.012743664,-0.019335438
2003.2.13,-0.001589145,-0.00456053
2003.2.14,0.021183386,0.04442406
2003.2.18,0.019335161,0.01195746
2003.2.19,-0.007192155,-0.04111441
2003.2.20,-0.009511426,-0.015402182
2003.2.21,0.013172919,0.02182682
2003.2.24,-0.018563122,-0.029558613
2003.2.25,0.0071805,-0.030848952
2003.2.26,-0.013324727,-0.015679228
2003.2.27,0.011773322,0.024114438
2003.2.28,0.00452813,0.015095402
2003.3.3,-0.007518384,-0.001602856
2003.3.4,-0.01545178,-0.016173779
2003.3.5,0.009564817,0.001025337
2003.3.6,-0.009443169,-0.025569673
2003.3.7,0.008237478,-0.000846799
2003.3.10,-0.026156466,-0.04544291
2003.3.11,-0.00845671,-0.008083322
2003.3.12,0.004361649,-0.043155037
2003.3.13,0.033864247,0.065987411
2003.3.14,0.00168148,0.019678966
2003.3.17,0.034789193,0.036444487
2003.3.18,0.004279195,0.036978712
2003.3.19,0.008618266,0.014737814
2003.3.20,0.001943191,-0.001116523
2003.3.21,0.022579419,0.040345446
2003.3.24,-0.03591295,-0.062461018
2003.3.25,0.012076747,0.036431995
2003.3.26,-0.005387759,-0.02131176
2003.3.27,-0.001725626,0.000301897
2003.3.28,-0.005773688,-0.023569243
2003.3.31,-0.017877441,-0.035709831
2003.4.1,0.012070223,0.009822839
2003.4.2,0.025757432,0.050347558
2003.4.3,-0.005007408,-0.00510019
2003.4.4,0.002734421,0.030959595
2003.4.7,0.001137139,0.056452933
2003.4.8,-0.001820044,-0.011120148
2003.4.9,-0.014103312,-0.008202977
2003.4.10,0.006445695,-0.012479736
2003.4.11,-0.003793326,0.012269776
2003.4.14,0.019276331,0.012728407
2003.4.15,0.006306327,0.014951809
2003.4.16,-0.012311671,-0.006580817
2003.4.17,0.015449983,0.027773881
2003.4.22,0.021515746,0.02136848
2003.4.23,0.008304244,0.001884507
2003.4.24,-0.008304244,-0.025943386
2003.4.25,-0.013921339,-0.018926733
2003.4.28,0.017644922,0.041281659
2003.4.29,0.00327404,-0.016758302
2003.4.30,-0.000981087,0.009415233
2003.5.2,0.014948285,0.015960587
2003.5.5,-0.003878062,0.007094378
2003.5.6,0.008490566,0.021271614
2003.5.7,-0.005150226,-0.019038151
2003.5.8,-0.010054682,-0.040418321
2003.5.9,0.01413413,0.021870454
2003.5.12,0.012456908,-0.008097155
2003.5.13,-0.002967047,-0.010807554
2003.5.14,-0.003188778,0.006542134
2003.5.15,0.007847336,0.021159749
2003.5.16,0.000741565,0.000545467
2003.5.19,-0.025201055,-0.043150235
2003.5.20,-0.001195327,-0.003256484
