³¯Â¥,S&P 500,CAC
2002.7.16,-0.018583195,-0.02775927
2002.7.17,0.005534048,0.044971081
2002.7.18,-0.027300868,0.014940377
2002.7.19,-0.019043744,-0.027982006
2002.7.22,-0.033462377,-0.039603104
2002.7.23,-0.027449795,-0.043451123
2002.7.24,0.055708754,0.001289075
2002.7.25,-0.005588267,-0.007757991
2002.7.26,0.016671979,0.006530889
2002.7.29,0.052757981,0.053809978
2002.7.30,0.00421801,-0.016152644
2002.7.31,0.009700252,0.008683123
2002.8.1,-0.029952693,-0.049640915
2002.8.2,-0.023444381,-0.004521485
2002.8.5,-0.034851655,-0.041890942
2002.8.6,0.029514597,0.062645808
2002.8.7,0.019811751,-0.012537478
2002.8.8,0.032208361,0.019611341
2002.8.9,0.003417676,0.007728677
2002.8.12,-0.005296856,-0.015085868
2002.8.13,-0.021924816,0.002322207
2002.8.14,0.039255511,-0.018922325
2002.8.15,0.011460824,0.011117727
2002.8.16,-0.001506186,-0.00087349
2002.8.19,0.023305125,0.038521578
2002.8.20,-0.01408847,-0.008537331
2002.8.21,0.012720121,0.007934301
2002.8.22,0.013911631,0.01602687
2002.8.23,-0.022904973,-0.015225208
2002.8.26,0.007517638,-0.014906759
2002.8.27,-0.0140219,0.021733929
2002.8.28,-0.01824415,-0.028634132
2002.8.29,-0.00010895,-0.02474293
2002.8.30,-0.001853973,-0.003207467
2002.9.3,-0.042478935,-0.032628318
2002.9.4,0.017387815,0.020341806
2002.9.5,-0.016135752,-0.014874771
2002.9.6,0.016695255,0.026119168
2002.9.9,0.010128641,-0.011801379
2002.9.10,0.007282389,0.018040544
2002.9.11,-0.001208725,0.023530497
2002.9.12,-0.025162762,-0.015902476
2002.9.13,0.003264482,-0.019137839
2002.9.16,0.001459936,-0.012956414
2002.9.17,-0.019948525,-0.037193067
2002.9.18,-0.004589796,-0.016868268
2002.9.19,-0.030595567,-0.029581989
2002.9.20,0.002487122,-0.003799003
2002.9.23,-0.013936263,-0.036188737
2002.9.24,-0.017423308,-0.023776336
2002.9.25,0.024594368,0.021404771
2002.9.26,0.018056784,0.042500782
2002.9.27,-0.032813215,0.003394436
2002.9.30,-0.01473211,-0.026392402
2002.10.1,0.039206561,0.00923302
2002.10.2,-0.019023126,0.003747237
2002.10.3,-0.01080829,-0.002439451
2002.10.4,-0.022722637,-0.021113685
2002.10.7,-0.019295636,0.006239697
2002.10.8,0.016669157,-0.023911384
2002.10.9,-0.027552051,-0.02160233
2002.10.10,0.034291966,0.050987788
2002.10.11,0.038316058,0.039772971
2002.10.14,0.007276229,-0.002079003
2002.10.15,0.046330919,0.050660616
2002.10.16,-0.024465701,0.012125333
2002.10.17,0.022080014,0.01776133
2002.10.18,0.005897046,-0.023486284
2002.10.21,0.017151925,0.002542105
2002.10.22,-0.010615218,-0.008304104
2002.10.23,0.006605857,-0.050941474
2002.10.24,-0.015293225,0.007510239
2002.10.25,0.016965746,0.005249356
2002.10.28,-0.008278378,-0.004167341
2002.10.29,-0.009140728,-0.038650558
2002.10.30,0.009702242,0.027201415
2002.10.31,-0.005516479,0.020241655
2002.11.1,0.017014066,-0.006100517
2002.11.4,0.008179553,0.013473492
2002.11.5,0.007676318,0.016149419
2002.11.6,0.00913447,-0.02430515
2002.11.7,-0.023216111,-0.042881727
2002.11.8,-0.008791021,-0.003593014
2002.11.11,-0.020894091,0.003939598
2002.11.12,0.007730825,0.01017236
2002.11.13,-0.000566412,-0.003940892
