³¯Â¥,S&P 500,KOSPI
2000.11.16,-0.012671688,-0.005049926
2000.11.17,-0.003357667,0.005146916
2000.11.20,-0.018522464,-0.011802057
2000.11.21,0.003494557,0.003657069
2000.11.22,-0.018654322,-0.006050618
2000.11.24,0.014563729,0.024195882
2000.11.27,0.005351581,0.021472854
2000.11.28,-0.009608655,-0.013871387
2000.11.29,0.004331598,-0.012584107
2000.11.30,-0.020249854,-0.018657221
2000.12.1,0.00015208,0.046918108
2000.12.4,0.007423714,-0.03603588
2000.12.5,0.038131586,0.023209073
2000.12.6,-0.018328959,-0.03285896
2000.12.7,-0.005936938,0.012100872
2000.12.8,0.019459595,0.021565554
2000.12.11,0.007490672,0.020651582
2000.12.12,-0.006542147,-0.023907261
2000.12.13,-0.008201569,0.031855105
2000.12.14,-0.014143669,-0.001387469
2000.12.15,-0.021635912,-0.019527198
2000.12.18,0.007969984,0.018528753
2000.12.19,-0.01323918,-0.019459025
2000.12.20,-0.031827765,-0.006126544
2000.12.21,0.008032804,0.026325122
2000.12.22,0.024101287,-0.027465919
2000.12.26,0.007019714,-0.008819147
2001.1.2,-0.028424098,0.034447785
2001.1.3,0.048890347,0.016806143
2001.1.4,-0.01066816,0.01169857
2001.1.5,-0.026601356,0.03737753
2001.1.8,-0.001850282,0.022286917
2001.1.9,0.003774025,0.010342834
2001.1.10,0.009563594,-0.04501213
2001.1.11,0.010226974,-0.011450946
2001.1.12,-0.006427,0.015289717
2001.1.16,0.006351628,0.004551125
2001.1.17,0.002108276,-0.008223483
2001.1.18,0.013518261,0.011488638
2001.1.19,-0.004088465,-0.003977365
2001.1.22,0.000297907,0.00788823
2001.1.26,-0.001843318,-0.052586967
2001.1.29,0.006840525,0.006373572
2001.1.30,0.006939653,-0.016686199
2001.1.31,-0.005621068,0.038184853
2001.2.1,0.005475465,0.009534118
2001.2.2,-0.017628073,-0.009861158
2001.2.5,0.003550562,-0.026831356
2001.2.6,-0.001477869,0.016033613
2001.2.7,-0.008465816,-0.015054715
2001.2.8,-0.006433296,0.024729802
2001.2.9,-0.013372314,0.012012004
2001.2.12,0.011719918,0.019514952
2001.2.13,-0.008682248,-0.00727167
2001.2.14,-0.00220139,0.01484895
2001.2.15,0.008098436,-0.012560973
2001.2.16,-0.019101833,-0.00166825
2001.2.20,-0.017517112,0.021536561
2001.2.21,-0.018625746,-0.01826687
2001.2.22,-0.001993542,-0.010045194
2001.2.23,-0.005522886,0.006102349
2001.2.26,0.017346075,0.000273392
2001.2.27,-0.007760571,-0.02153015
2001.2.28,-0.014412933,0.011237441
2001.3.2,-0.005655667,-0.026755266
2001.3.5,0.005816788,0.028907948
2001.3.6,0.009939165,-0.001740981
2001.3.7,0.006439582,-0.010287365
2001.3.8,0.002216418,0.016518081
2001.3.9,-0.025060356,-0.011161321
2001.3.12,-0.044090668,-0.016936762
2001.3.13,0.014719135,5.68E-05
2001.3.14,-0.0262238,0.003429523
2001.3.15,0.005896697,0.034644521
2001.3.16,-0.019879317,-0.004888989
2001.3.19,0.017490645,0.004670933
2001.3.20,-0.024380909,-0.01963331
2001.3.21,-0.018104438,0.022558632
2001.3.22,-0.004018401,-0.007240586
2001.3.23,0.019669279,0.01114051
2001.3.26,0.011254208,0.002255371
2001.3.27,0.025270093,-0.02477957
2001.3.28,-0.024749711,-0.02362241
2001.3.29,-0.0046061,0.001547589
2001.3.30,0.010657294,-0.002691227
2001.4.2,-0.012488238,-0.01034998
2001.4.3,-0.034988474,-0.004203686
2001.4.4,-0.002986833,-0.004728619
2001.4.6,-0.020177893,-0.023119708
2001.4.9,0.00812008,-0.011214174
2001.4.10,0.026714511,-0.019674484
2001.4.11,-0.002141971,0.004522259
2001.4.12,0.014982829,-0.004888752
2001.4.16,-0.003215981,-0.012122546
2001.4.17,0.0102046,0.013811698
2001.4.18,0.038193943,0.031490667
2001.4.19,0.012440467,-0.00739303
2001.4.20,-0.008571367,-0.020232907
2001.4.23,-0.015076884,0.003303486
2001.4.24,-0.012243877,0.005993014
2001.4.25,0.015831032,0.024397339
2001.4.26,0.004627946,-0.014073783
2001.4.27,0.014874646,-0.007927105
2001.4.30,-0.002797205,0.0208618
2001.5.2,0.000789328,-0.004393282
2001.5.3,-0.014944634,0.002021206
2001.5.4,0.014313221,0.017067641
2001.5.7,-0.002450497,0.012856814
2001.5.8,-0.004351445,-0.005754173
2001.5.9,-0.004529749,-0.017501945
2001.5.10,-0.000238977,0.00382581
2001.5.11,-0.007597302,0.002266484
2001.5.14,0.002565543,-0.001796085
2001.5.15,0.000400272,-0.004171572
2001.5.16,0.028095282,-0.0109116
2001.5.17,0.002720033,0.013912798
2001.5.18,0.002712654,0.010007614
2001.5.21,0.015970855,0.01972605
2001.5.22,-0.002593244,-0.017372771
2001.5.23,-0.015702293,0.004136394
2001.5.24,0.003253043,0.013036982
2001.5.25,-0.011901661,-0.004572058
2001.5.29,-0.007856117,0.02419673
2001.5.30,-0.015739594,-0.001637689
2001.5.31,0.006150425,-0.00047362
2001.6.1,0.003894303,-0.014067
2001.6.4,0.005063703,0.003032864
2001.6.5,0.012937805,-0.024739134
2001.6.7,0.005496677,0.011477264
2001.6.8,-0.009441455,0.021622288
2001.6.11,-0.008414752,-0.006930534
